"State_Name","District_Name","Crop_Year","Season","Crop","Area","Production","Rendimiento"
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Maize",547,3876,7.08592321755027
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Moong(Green Gram)",236,159,0.673728813559322
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Onion",193,2745,14.2227979274611
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Other  Rabi pulses",10,12,1.2
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Potato",845,12739,15.0757396449704
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Ragi",704,1050,1.49147727272727
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Rice",34557,126168,3.65101137251498
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Sesamum",347,198,0.570605187319885
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Sunflower",812,414,0.509852216748768
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Sweet potato",186,2127,11.4354838709677
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Tobacco",55,78,1.41818181818182
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Tomato",4908,106037,21.6049307253464
"Andhra Pradesh","CHITTOOR",2012,"Rabi       ","Urad",1621,1598,0.985811227637261
"Andhra Pradesh","CHITTOOR",2012,"Whole Year ","Coconut ",3351,28899000,8623.99283795882
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Arhar/Tur",7601,1923,0.252993027233259
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Bajra",1789,3907,2.18390162101733
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Brinjal",919,19001,20.6757344940152
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Cabbage",114,2140,18.7719298245614
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Cashewnut",75,24,0.32
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Castor seed",228,107,0.469298245614035
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Coriander",27,16,0.592592592592593
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Cotton(lint)",157,391,2.49044585987261
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Cowpea(Lobia)",1116,317,0.28405017921147
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Grapes",23,417,18.1304347826087
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Groundnut",143027,142455,0.996000755102184
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Horse-gram",5499,3211,0.583924349881797
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Jowar",12,10,0.833333333333333
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Lemon",46,236,5.1304347826087
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Maize",1905,7683,4.03307086614173
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Mango",66615,588344,8.83200480372289
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Moong(Green Gram)",540,599,1.10925925925926
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Onion",170,3201,18.8294117647059
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Other Kharif pulses",1792,520,0.290178571428571
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","other oilseeds",280,196,0.7
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Papaya",526,13845,26.3212927756654
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Pome Granet",78,1126,14.4358974358974
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Ragi",8006,10512,1.31301523857107
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Rice",15206,48766,3.20702354333816
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Sapota",208,1957,9.40865384615385
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Sesamum",20,9,0.45
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Small millets",427,131,0.306791569086651
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Soyabean",11,18,1.63636363636364
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Sugarcane",28152,2562925,91.03882495027
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Sunflower",66,52,0.787878787878788
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Sweet potato",57,669,11.7368421052632
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Tobacco",8,15,1.875
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Tomato",8397,232496,27.6879838037394
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Turmeric",16,197,12.3125
"Andhra Pradesh","CHITTOOR",2013,"Kharif     ","Urad",365,339,0.928767123287671
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Arhar/Tur",10,3,0.3
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Bajra",2,4,2
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Brinjal",774,16003,20.6757105943152
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Cabbage",181,3398,18.7734806629834
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Coriander",65,39,0.6
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Cotton(lint)",194,483,2.48969072164948
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Cowpea(Lobia)",10,8,0.8
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Dry chillies",1751,3488,1.99200456881782
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Gram",8,10,1.25
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Groundnut",12051,32863,2.72699361048876
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Horse-gram",2011,871,0.433117851815017
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Maize",1303,9713,7.45433614735226
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Moong(Green Gram)",277,173,0.624548736462094
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Onion",253,5928,23.4308300395257
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Other Kharif pulses",4,5,1.25
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Ragi",641,1140,1.77847113884555
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Rice",34654,120249,3.4699890344549
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Sesamum",370,134,0.362162162162162
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Sunflower",1078,860,0.797773654916512
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Sweet potato",217,2548,11.741935483871
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Tobacco",64,116,1.8125
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Tomato",5199,116546,22.4170032698596
"Andhra Pradesh","CHITTOOR",2013,"Rabi       ","Urad",1119,880,0.786416443252904
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Banana",910,50203,55.1681318681319
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Cashewnut",75,24,0.32
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Castor seed",228,107,0.469298245614035
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Coconut ",2760,19847000,7190.94202898551
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Coriander",92,55,0.597826086956522
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Potato",1297,22926,17.6761757902853
"Andhra Pradesh","CHITTOOR",2013,"Whole Year ","Sweet potato",274,3217,11.7408759124088
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Arhar/Tur",6840,1669,0.244005847953216
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Bajra",2071,4622,2.2317720907774
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Brinjal",924,21932,23.7359307359307
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Cabbage",120,3491,29.0916666666667
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Cashewnut",86,30,0.348837209302326
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Castor seed",137,78,0.569343065693431
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Coriander",2,1,0.5
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Cotton(lint)",308,723,2.3474025974026
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Cowpea(Lobia)",948,289,0.304852320675105
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Grapes",32,932,29.125
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Groundnut",122578,72811,0.593997291520501
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Horse-gram",5071,2277,0.449023861171367
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Jowar",23,16,0.695652173913043
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Lemon",55,478,8.69090909090909
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Maize",2693,8820,3.27515781656146
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Mango",64633,462384,7.15399254250924
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Moong(Green Gram)",469,578,1.23240938166311
"Andhra Pradesh","CHITTOOR",2014,"Kharif     ","Onion",242,4443,18.3595041322314
